FIPS,State,County,LL.Rank,LL.Quartile,QL.Rank,QL.Quartile,HB.Rank,HB.Quartile,CC.Rank,CC.Quartile,SE.Rank,SE.Quartile,PE.Rank,PE.Quartile
01001,Alabama,Autauga,18,2,5,1,12,1,15,1,3,1,51,4
01003,Alabama,Baldwin,4,1,4,1,3,1,7,1,8,1,14,1
01005,Alabama,Barbour,14,1,49,3,57,4,20,2,58,4,16,1
01007,Alabama,Bibb,53,4,25,2,39,3,42,3,42,3,29,2
01009,Alabama,Blount,17,1,12,1,11,1,41,3,13,1,54,4
01011,Alabama,Bullock,58,4,61,4,66,4,54,4,62,4,3,1
01013,Alabama,Butler,59,4,53,4,51,4,55,4,56,4,11,1
01015,Alabama,Calhoun,47,3,9,1,32,2,23,2,22,2,50,3
01017,Alabama,Chambers,33,2,50,3,56,4,44,3,44,3,66,4
01019,Alabama,Cherokee,52,4,11,1,17,1,25,2,28,2,45,3
01021,Alabama,Chilton,43,3,24,2,20,2,47,3,37,3,27,2
01023,Alabama,Choctaw,49,3,47,3,27,2,35,3,52,4,15,1
01025,Alabama,Clarke,15,1,55,4,44,3,30,2,60,4,6,1
01027,Alabama,Clay,30,2,26,2,18,2,48,3,27,2,37,3
01029,Alabama,Cleburne,44,3,10,1,21,2,58,4,14,1,20,2
01031,Alabama,Coffee,2,1,15,1,8,1,11,1,4,1,9,1
01033,Alabama,Colbert,36,3,20,2,6,1,9,1,24,2,40,3
01035,Alabama,Conecuh,56,4,63,4,58,4,67,4,63,4,58,4
01037,Alabama,Coosa,21,2,52,4,38,3,40,3,50,3,26,2
01039,Alabama,Covington,32,2,39,3,31,2,52,4,17,1,8,1
01041,Alabama,Crenshaw,19,2,28,2,45,3,60,4,34,2,2,1
01043,Alabama,Cullman,28,2,17,1,24,2,14,1,10,1,52,4
01045,Alabama,Dale,7,1,14,1,16,1,16,1,19,2,17,1
01047,Alabama,Dallas,60,4,59,4,62,4,27,2,64,4,44,3
01049,Alabama,DeKalb,23,2,22,2,37,3,62,4,39,3,31,2
01051,Alabama,Elmore,12,1,8,1,13,1,13,1,11,1,39,3
01053,Alabama,Escambia,41,3,42,3,49,3,64,4,53,4,23,2
01055,Alabama,Etowah,46,3,36,3,55,4,28,2,36,3,33,2
01057,Alabama,Fayette,31,2,27,2,34,2,36,3,30,2,12,1
01059,Alabama,Franklin,50,3,32,2,28,2,65,4,40,3,7,1
01061,Alabama,Geneva,26,2,35,3,50,3,63,4,31,2,4,1
01063,Alabama,Greene,63,4,67,4,65,4,29,2,65,4,21,2
01065,Alabama,Hale,35,3,60,4,59,4,38,3,54,4,62,4
01067,Alabama,Henry,6,1,30,2,14,1,22,2,15,1,10,1
01069,Alabama,Houston,11,1,34,2,35,3,5,1,18,2,19,2
01071,Alabama,Jackson,45,3,21,2,43,3,51,4,38,3,35,3
01073,Alabama,Jefferson,34,2,16,1,7,1,2,1,20,2,64,4
01075,Alabama,Lamar,22,2,46,3,30,2,56,4,21,2,53,4
01077,Alabama,Lauderdale,10,1,18,2,9,1,8,1,7,1,32,2
01079,Alabama,Lawrence,42,3,19,2,33,2,57,4,26,2,42,3
01081,Alabama,Lee,8,1,6,1,4,1,12,1,6,1,56,4
01083,Alabama,Limestone,3,1,7,1,5,1,17,1,5,1,67,4
01085,Alabama,Lowndes,64,4,65,4,64,4,32,2,67,4,60,4
01087,Alabama,Macon,62,4,58,4,61,4,10,1,57,4,25,2
01089,Alabama,Madison,5,1,2,1,2,1,3,1,2,1,49,3
01091,Alabama,Marengo,51,4,54,4,46,3,43,3,46,3,22,2
01093,Alabama,Marion,39,3,23,2,23,2,61,4,35,3,5,1
01095,Alabama,Marshall,37,3,29,2,29,2,49,3,23,2,28,2
01097,Alabama,Mobile,29,2,37,3,25,2,19,2,45,3,34,2
01099,Alabama,Monroe,48,3,56,4,52,4,53,4,61,4,65,4
01101,Alabama,Montgomery,27,2,31,2,36,3,6,1,41,3,46,3
01103,Alabama,Morgan,13,1,13,1,10,1,24,2,12,1,57,4
01105,Alabama,Perry,61,4,66,4,63,4,46,3,59,4,41,3
01107,Alabama,Pickens,40,3,51,4,42,3,45,3,49,3,18,2
01109,Alabama,Pike,20,2,45,3,53,4,26,2,47,3,24,2
01111,Alabama,Randolph,57,4,33,2,19,2,50,3,25,2,38,3
01113,Alabama,Russell,16,1,40,3,54,4,33,2,33,2,59,4
01115,Alabama,St. Clair,25,2,3,1,15,1,34,2,9,1,61,4
01117,Alabama,Shelby,1,1,1,1,1,1,1,1,1,1,47,3
01119,Alabama,Sumter,66,4,62,4,60,4,21,2,55,4,55,4
01121,Alabama,Talladega,54,4,48,3,48,3,31,2,32,2,48,3
